BW1,BW2,DL1,DL2,PL1,PL2,MPSNR
0.39 ,0.45 ,14,566,1.4 ,1.0 ,79.8634 
0.49 ,0.29 ,439,469,4.3 ,2.3 ,54.7149 
0.96 ,0.99 ,519,321,4.2 ,5.0 ,58.0696 
0.48 ,0.67 ,111,324,0.6 ,0.5 ,88.1374 
0.29 ,0.70 ,243,448,2.7 ,0.4 ,67.3594 
0.40 ,0.73 ,283,94,1.4 ,4.0 ,71.9980 
0.76 ,0.70 ,533,117,4.2 ,3.1 ,62.1111 
0.67 ,0.44 ,114,557,3.3 ,2.0 ,55.9266 
0.82 ,0.53 ,517,235,1.1 ,1.8 ,66.8330 
0.76 ,0.83 ,225,285,2.1 ,2.3 ,70.6402 
0.38 ,0.44 ,540,509,1.3 ,5.0 ,47.1276 
0.67 ,0.88 ,245,319,4.2 ,3.3 ,70.9782 
0.48 ,0.21 ,70,595,1.6 ,2.2 ,45.0249 
0.72 ,0.46 ,566,5,4.7 ,2.2 ,60.8160 
0.77 ,0.77 ,457,287,5.0 ,1.3 ,60.5417 
0.75 ,0.75 ,210,524,4.1 ,3.0 ,54.4275 
0.51 ,0.39 ,145,295,2.9 ,2.5 ,66.0666 
0.66 ,0.53 ,414,214,3.7 ,1.5 ,68.7648 
0.60 ,0.56 ,41,201,0.7 ,4.6 ,59.5203 
0.57 ,0.62 ,481,329,4.4 ,4.8 ,55.4851 
0.23 ,0.56 ,436,116,2.2 ,2.5 ,38.5269 
0.31 ,0.21 ,94,390,0.7 ,2.1 ,35.5175 
0.60 ,0.89 ,364,144,2.4 ,4.3 ,55.2334 
0.98 ,0.82 ,339,270,2.1 ,2.3 ,74.7169 
0.40 ,0.44 ,78,511,1.3 ,2.3 ,61.7625 
0.77 ,0.43 ,502,390,0.4 ,4.3 ,67.8785 
0.45 ,0.41 ,344,502,2.1 ,0.8 ,75.8623 
0.58 ,0.53 ,141,85,4.4 ,4.6 ,48.7215 
0.84 ,0.80 ,585,382,4.7 ,4.1 ,50.2825 
1.00 ,0.98 ,26,6,2.1 ,0.5 ,84.9823 
0.34 ,0.43 ,96,160,3.6 ,3.0 ,65.4528 
0.70 ,0.46 ,164,38,3.1 ,2.8 ,57.6431 
0.59 ,0.99 ,585,80,4.4 ,4.2 ,57.1361 
0.27 ,0.60 ,597,72,1.8 ,0.4 ,70.9681 
0.45 ,0.74 ,162,486,1.5 ,4.5 ,69.4789 
0.81 ,0.36 ,117,314,4.7 ,2.1 ,59.1851 
0.67 ,0.20 ,205,327,1.0 ,1.2 ,41.3712 
0.67 ,0.35 ,223,330,0.5 ,1.6 ,80.2201 
0.66 ,0.95 ,10,56,4.4 ,3.5 ,56.4815 
0.94 ,0.97 ,382,355,4.5 ,3.4 ,62.2985 
0.60 ,0.80 ,228,344,0.7 ,1.0 ,86.0154 
0.26 ,0.65 ,98,502,1.4 ,1.2 ,59.9003 
0.62 ,0.88 ,128,593,4.8 ,0.7 ,63.3641 
0.31 ,0.29 ,139,532,1.6 ,1.3 ,73.2303 
0.96 ,0.77 ,80,382,2.9 ,3.3 ,60.6384 
0.37 ,0.98 ,37,594,4.5 ,3.7 ,60.7666 
0.83 ,0.70 ,453,539,4.1 ,4.7 ,41.8291 
0.79 ,0.46 ,26,509,2.5 ,3.0 ,56.6266 
0.55 ,0.75 ,239,150,1.7 ,1.6 ,78.8470 
0.24 ,0.70 ,28,508,3.4 ,3.1 ,48.8910 
0.67 ,0.75 ,242,368,1.2 ,3.8 ,69.7671 
0.75 ,0.23 ,522,445,3.5 ,4.4 ,40.4087 
0.51 ,0.63 ,478,259,1.2 ,2.0 ,68.2754 
0.29 ,0.96 ,119,446,0.7 ,3.6 ,57.6340 
0.64 ,0.51 ,424,153,3.2 ,4.6 ,56.4164 
0.60 ,0.36 ,244,305,2.0 ,1.5 ,67.2633 
0.59 ,0.55 ,268,196,3.2 ,3.5 ,47.0621 
0.80 ,0.49 ,153,74,1.5 ,4.9 ,57.7279 
0.76 ,0.29 ,18,502,0.5 ,0.8 ,80.6081 
0.72 ,0.39 ,61,502,4.8 ,1.7 ,60.0004 
0.86 ,0.23 ,162,6,3.8 ,4.5 ,43.4052 
0.55 ,0.44 ,70,476,3.7 ,2.4 ,67.5401 
0.33 ,0.41 ,540,160,4.0 ,4.9 ,46.8817 
0.51 ,0.28 ,406,54,3.7 ,3.9 ,63.5655 
0.32 ,0.46 ,168,175,4.3 ,1.4 ,64.0328 
0.42 ,0.53 ,170,585,0.9 ,4.5 ,65.5182 
0.29 ,0.95 ,398,509,5.0 ,1.7 ,50.6513 
0.69 ,0.70 ,364,169,4.9 ,3.4 ,58.7651 
